date,legacy_log_rv,rebuilt_log_rv,difference
1950-01-31,-3.4822828507512336,-3.4512888011515233,0.030994049599710305
1950-02-28,-3.8687548248462456,-3.8687548248462558,-1.021405182655144e-14
1950-03-31,-3.8068750703291654,-3.8068750703291685,-3.1086244689504383e-15
1950-04-30,-3.618435850019912,-3.6184358500199223,-1.021405182655144e-14
1950-05-31,-3.62002626625494,-3.620026266254947,-7.105427357601002e-15
1950-06-30,-2.563740446615361,-2.5637404466153595,1.3322676295501878e-15
1950-07-31,-2.8634923590451735,-2.8634923590451726,8.881784197001252e-16
1950-08-31,-3.4047663868974904,-3.4047663868974847,5.773159728050814e-15
1950-09-30,-3.3545548278761563,-3.354554827876161,-4.884981308350689e-15
1950-10-31,-3.2060747715267666,-3.2060747715267666,0.0
1950-11-30,-2.969973162102523,-2.969973162102524,-8.881784197001252e-16
1950-12-31,-2.874565679565736,-2.874565679565734,2.220446049250313e-15
1951-01-31,-3.1786098458294134,-3.178609845829416,-2.6645352591003757e-15
1951-02-28,-3.6737523953729267,-3.6737523953729334,-6.661338147750939e-15
1951-03-31,-3.4186663299833526,-3.418666329983354,-1.3322676295501878e-15
1951-04-30,-3.6021466724754845,-3.602146672475486,-1.3322676295501878e-15
1951-05-31,-3.274282403523882,-3.274282403523884,-2.220446049250313e-15
1951-06-30,-3.4187320638011465,-3.418732063801149,-2.6645352591003757e-15
1951-07-31,-3.3059003536174902,-3.3059003536174947,-4.440892098500626e-15
1951-08-31,-3.750715926461983,-3.7507159264619974,-1.4210854715202004e-14
1951-09-30,-4.140207786444747,-4.140207786444744,2.6645352591003757e-15
1951-10-31,-3.271905709749394,-3.27190570974939,3.9968028886505635e-15
1951-11-30,-3.5391250046240366,-3.539125004624047,-1.0658141036401503e-14
1951-12-31,-3.915470000972079,-3.9154700009720687,1.021405182655144e-14
1952-01-31,-3.7318178496620122,-3.731817849662012,4.440892098500626e-16
1952-02-29,-3.6196871084273274,-3.619687108427326,1.3322676295501878e-15
1952-03-31,-3.679718495502235,-3.679718495502233,2.220446049250313e-15
1952-04-30,-3.623820724185653,-3.6238207241856584,-5.329070518200751e-15
1952-05-31,-3.792183281198736,-3.7921832811987484,-1.2434497875801753e-14
1952-06-30,-4.023416301755437,-4.023416301755427,9.769962616701378e-15
1952-07-31,-3.989177210073668,-3.989177210073654,1.4210854715202004e-14
1952-08-31,-4.107927828880875,-4.107927828880884,-8.881784197001252e-15
1952-09-30,-3.879360316768393,-3.879360316768401,-7.993605777301127e-15
1952-10-31,-3.4534223406954574,-3.453422340695453,4.440892098500626e-15
1952-11-30,-3.8657750874963757,-3.865775087496376,-4.440892098500626e-16
1952-12-31,-4.106525676963868,-4.106525676963856,1.1546319456101628e-14
1953-01-31,-3.891378282704692,-3.891378282704698,-5.773159728050814e-15
1953-02-28,-3.2577287435548223,-3.257728743554822,4.440892098500626e-16
1953-03-31,-3.642084222885134,-3.6420842228851384,-4.440892098500626e-15
