row_model,QR1,QR2,HAR,HARX,AR3,AR1,ARMAX,LSTM,LSTMX,CRL,CRLX
QR1,,0.780295,0.086329,0.938776,0.041957,0.001899,0.806198,0.01027,0.556876,0.038852,0.304294
QR2,,,0.067781,0.847089,0.028263,0.002654,0.983982,0.008283,0.38265,0.025936,0.108269
HAR,,,,0.020183,0.269405,0.002863,0.028957,0.069838,0.251973,0.236761,0.316093
HARX,,,,,0.011024,0.001008,0.778569,0.009389,0.384835,0.010408,0.184491
AR3,,,,,,0.010613,0.009447,0.092733,0.100343,0.35032,0.123514
AR1,,,,,,,0.002134,0.926997,0.02096,0.012606,0.010622
ARMAX,,,,,,,,0.002202,0.169907,0.008595,0.083477
LSTM,,,,,,,,,0.002839,0.09233,0.020443
LSTMX,,,,,,,,,,0.08927,0.818031
CRL,,,,,,,,,,,0.115118
CRLX,,,,,,,,,,,
