row_model,QR1,QR2,HAR,HARX,AR3,AR1,ARMAX,LSTM,LSTMX,CRL,CRLX
QR1,,0.279243,-1.722045,0.076887,-2.044706,-3.139867,0.245601,-2.586705,-0.588299,-2.07696,-1.029437
QR2,,,-1.834612,-0.193039,-2.206753,-3.036439,-0.020097,-2.66205,-0.874602,-2.240848,-1.611934
HAR,,,,2.338253,-1.106951,-3.012534,2.197052,-1.820955,1.148292,-1.186038,1.004582
HARX,,,,,-2.561496,-3.328449,0.281496,-2.618325,-0.870588,-2.581988,-1.33082
AR3,,,,,,-2.575048,2.616165,-1.687772,1.649444,-0.935764,1.545531
AR1,,,,,,,3.104129,0.091718,2.323779,2.513309,2.574733
ARMAX,,,,,,,,-3.094347,-1.37657,-2.649198,-1.737972
LSTM,,,,,,,,,3.015187,1.689871,2.333349
LSTMX,,,,,,,,,,-1.706058,-0.230327
CRL,,,,,,,,,,,1.581242
CRLX,,,,,,,,,,,
