model,mse_log_rv,legacy_normalized_qlike_sum
AR1,0.13013090169762065,5.9467541199959
AR3,0.11791469496652751,5.626389114370614
ARMAX,0.103857913254042,5.615100897041531
CRL,0.11811734987453969,5.644688111563708
CRLX,0.10982287801776337,6.6774072603124
HAR,0.11556861530070825,5.617000887568628
HARX,0.1046774132853305,5.252814958118162
LSTM,0.12920442214711522,6.410839342922125
LSTMX,0.10879550051742137,5.383744351226316
QR1,0.10508123683054546,5.278132655414232
QR2,0.10375598130823718,5.08110036561003
