model,mcs_pvalue,window,loss
Persistence,0.0109,571,mse_log_rv
LSTM,0.1255,571,mse_log_rv
HAR,0.3614,571,mse_log_rv
AR3,0.4817,571,mse_log_rv
CRL,0.4817,571,mse_log_rv
QR2,0.6837,571,mse_log_rv
LSTMX,0.6837,571,mse_log_rv
HARX,0.9421,571,mse_log_rv
AR1,0.9421,571,mse_log_rv
QR1,0.9421,571,mse_log_rv
CRLX,1.0,571,mse_log_rv
LSTM,0.6327,571,qlike_variance
LSTMX,0.6937,571,qlike_variance
AR3,0.7199,571,qlike_variance
Persistence,0.7199,571,qlike_variance
CRL,0.7199,571,qlike_variance
HAR,0.7199,571,qlike_variance
QR2,0.7199,571,qlike_variance
HARX,0.7199,571,qlike_variance
CRLX,0.7199,571,qlike_variance
QR1,0.9423,571,qlike_variance
AR1,1.0,571,qlike_variance
QR2,0.1503,120,mse_log_rv
CRLX,0.1503,120,mse_log_rv
LSTM,0.1944,120,mse_log_rv
Persistence,0.2824,120,mse_log_rv
LSTMX,0.2824,120,mse_log_rv
AR3,0.7634,120,mse_log_rv
CRL,0.7634,120,mse_log_rv
HAR,0.7634,120,mse_log_rv
ARMAX,0.7634,120,mse_log_rv
HARX,0.9187,120,mse_log_rv
QR1,0.9187,120,mse_log_rv
AR1,1.0,120,mse_log_rv
QR2,0.1043,120,qlike_variance
CRLX,0.1249,120,qlike_variance
LSTMX,0.366,120,qlike_variance
LSTM,0.3981,120,qlike_variance
AR3,0.4958,120,qlike_variance
CRL,0.4971,120,qlike_variance
HAR,0.5952,120,qlike_variance
Persistence,0.9586,120,qlike_variance
AR1,0.9586,120,qlike_variance
QR1,0.9586,120,qlike_variance
HARX,0.9586,120,qlike_variance
ARMAX,1.0,120,qlike_variance
