period,window,model,complete,successful_forecasts,expected_forecasts,mse_log_rv,mae_log_rv,mse_rv,mae_rv,qlike_variance,directional_accuracy,mse_seed_std
last12,120,LSTMX,True,60,60,0.06769784622485102,0.2214604652585131,8.58109172880521e-05,0.007780032570103223,0.13764742911192096,0.7666666666666667,0.0023880214637087196
last12,120,LSTM,True,60,60,0.06924248535767773,0.229288385771172,8.69064560327723e-05,0.00806912935513785,0.1384501994127474,0.7,0.002552521179026793
last12,120,ARMAX,True,12,12,0.08913414757320422,0.25840483479396337,0.00011545102560408587,0.009098611165446614,0.20122197051145196,0.75,0.0
last12,120,HAR,True,12,12,0.09018433793578322,0.2600165634117564,0.00011194337698328803,0.009183011781048134,0.18548170724351687,0.6666666666666666,0.0
last12,120,AR3,True,12,12,0.0917723680321355,0.2697374239184582,0.00011534320257639962,0.009560913226999259,0.1871702414598695,0.5833333333333334,0.0
last12,120,AR1,True,12,12,0.09193370374899462,0.26159138876868065,0.0001143265374689321,0.009268937430639838,0.18791810559632174,0.75,0.0
last12,120,CRL,True,60,60,0.09194101496597633,0.2701660168264156,0.0001155900213113766,0.009578711357178575,0.18729997822101618,0.5833333333333334,0.0003593810060302098
last12,120,HARX,True,12,12,0.09379439685077517,0.2745586050001358,0.0001233044749328011,0.009757102382727539,0.20770002023168613,0.75,0.0
last12,120,QR1,True,60,60,0.10371290355814675,0.28543453749695225,0.00013624329500556463,0.010180694534245749,0.23046170718249784,0.6166666666666667,0.0032671864276708866
last12,120,QR2,True,60,60,0.11147152271922475,0.2910069478603887,0.00014818247145364233,0.010401626205420993,0.2615563022106614,0.65,0.006578306410767562
last12,120,CRLX,True,60,60,0.11611092740425209,0.29972432381207464,0.00014621897509252554,0.01060136038444037,0.24660579572004881,0.5166666666666667,0.003624492974752663
last12,120,Persistence,True,12,12,0.1358592730807314,0.3249785707227574,0.0001684765433045209,0.011458272606714974,0.31362176784495416,0.16666666666666666,0.0
last12,571,HAR,True,12,12,0.08551050995634102,0.25712970598308055,0.00010661054030834915,0.009057115071668535,0.17724010973369564,0.6666666666666666,0.0
last12,571,ARMAX,True,12,12,0.0855634706833962,0.2572300578798444,0.00011003211029619193,0.009077161538233739,0.18467044011940348,0.75,0.0
last12,571,HARX,True,12,12,0.08672939537766104,0.26824702955250107,0.00011164851314712374,0.009498603229510913,0.1866787037168629,0.75,0.0
last12,571,CRL,True,60,60,0.08732861800626607,0.26863902687551644,0.00011116302474873647,0.009502400478460639,0.18381846783388928,0.6666666666666666,0.0003663969669818664
last12,571,AR3,True,12,12,0.08766801236560208,0.2692703990187813,0.00011154296801829388,0.00952668027437079,0.1843001980127658,0.6666666666666666,0.0
last12,571,QR2,True,60,60,0.08890744714793938,0.2719031665493024,0.00011523505760417339,0.009640796533532395,0.19193507218173803,0.75,0.0025574181824125964
last12,571,LSTM,True,60,60,0.08891801646891903,0.2681796642409733,0.00011400678814977284,0.009463009320262453,0.18830730491088052,0.65,0.009304844836137575
last12,571,LSTMX,True,60,60,0.09141656871886703,0.2651417704869349,0.0001172324225390882,0.009356603846766174,0.19743967934111914,0.7166666666666667,0.0063275619349896835
last12,571,QR1,True,60,60,0.09423858959193529,0.2787236677886723,0.0001218029392258242,0.009875017025017436,0.20654931941801163,0.75,0.00227139167996326
last12,571,AR1,True,12,12,0.09765668820423373,0.270240055991775,0.00012212944621535547,0.009642549132423128,0.19561720100048077,0.75,0.0
last12,571,CRLX,True,60,60,0.10046189199991397,0.2881622335582803,0.00012750214503011074,0.010191494276449449,0.2127578859862948,0.6166666666666667,0.005337948785305746
last12,571,Persistence,True,12,12,0.1358592730807314,0.3249785707227574,0.0001684765433045209,0.011458272606714974,0.31362176784495416,0.16666666666666666,0.0
post2017,120,AR1,True,104,104,0.18235986991894879,0.32628208420732874,0.0008448098092023171,0.015388631634295954,0.726629663410203,0.7019230769230769,0.0
post2017,120,QR1,True,520,520,0.18587033778265818,0.3305304575873273,0.0008219891216055151,0.015801654996053946,0.6671720290766346,0.6538461538461539,0.0025792621355674966
post2017,120,HARX,True,104,104,0.18769118272502455,0.3288739770204238,0.001025663942454487,0.016584391012016256,0.6718185758044641,0.6826923076923077,0.0
post2017,120,HAR,True,104,104,0.1924658450588799,0.3333398785078015,0.0008719246570741297,0.015712890056801734,0.8212864056800715,0.6538461538461539,0.0
post2017,120,CRL,True,520,520,0.19319561750938538,0.33396191584531504,0.000870348519588917,0.01575632687086188,0.798779780802993,0.6538461538461539,0.00010809592408412212
post2017,120,AR3,True,104,104,0.1932550110177456,0.33393874669144263,0.0008703048409984624,0.015756171301185066,0.8005305841420481,0.6538461538461539,0.0
post2017,120,ARMAX,True,104,104,0.19652160549098122,0.34710883584829616,0.0011169740777373463,0.017865341845984054,0.6548098047415493,0.6538461538461539,0.0
post2017,120,CRLX,True,520,520,0.20291470691123006,0.34829617239425664,0.0009420513262679778,0.016819903770760623,0.7573323956563541,0.6346153846153846,0.006782954851239365
post2017,120,QR2,True,520,520,0.2164992993186496,0.35565170732293894,0.0010302913284522281,0.017627404325139297,0.766598711317336,0.6461538461538462,0.004268268741556567
post2017,120,Persistence,True,104,104,0.22867414802551003,0.3783012549899319,0.0010877120342240752,0.018662571129092868,0.7189457069934044,0.0673076923076923,0.0
post2017,120,LSTMX,True,520,520,0.23027906609164742,0.3562905012679543,0.000999065623600426,0.016744273353440368,1.1746805469506865,0.676923076923077,0.0017751984985756694
post2017,120,LSTM,True,520,520,0.24165646079816575,0.36698726934414544,0.0010383837246486698,0.017298033847151464,1.2130155906751305,0.6596153846153846,0.0026658959384670377
post2017,571,CRLX,True,520,520,0.1709848425427067,0.31983130891264866,0.0007735545924879933,0.015054248925308041,0.6094083877662858,0.6480769230769231,0.0015230046303398013
post2017,571,QR1,True,520,520,0.17139225659238153,0.31678072381482314,0.0007710343382652722,0.014893963110542384,0.5952982556831352,0.6576923076923077,0.000509450530954363
post2017,571,HARX,True,104,104,0.1737478506115961,0.31640662216048376,0.00078614457691529,0.01477705041623889,0.6513969597127709,0.6442307692307693,0.0
post2017,571,AR1,True,104,104,0.17571542875012086,0.3251329298562563,0.0007832664755437548,0.015338996281228385,0.5916460360665685,0.6826923076923077,0.0
post2017,571,QR2,True,520,520,0.17601981157055294,0.3207366409235278,0.0008018446682370269,0.015263630799750443,0.6322274092753263,0.6596153846153846,0.002052537494406414
post2017,571,ARMAX,False,102,104,0.17736377820415467,0.32517371247029114,0.0008080312249427922,0.0156241004228572,0.6213842398404471,0.6078431372549019,0.0
post2017,571,LSTMX,True,520,520,0.17819528408067056,0.3209376747943326,0.0008028897829645919,0.01509687817636947,0.672356726684005,0.6634615384615384,0.0051051626564573935
post2017,571,HAR,True,104,104,0.18712765213431817,0.3294586791292971,0.0008343614298732835,0.015518623187964079,0.726564804847441,0.6442307692307693,0.0
post2017,571,AR3,True,104,104,0.18781871693492208,0.33007361398726154,0.00083559039394007,0.015550905482431985,0.7053608717987786,0.6634615384615384,0.0
post2017,571,CRL,True,520,520,0.18785381595376266,0.3299066692577327,0.0008372074823406594,0.015549050281191221,0.7064446492340973,0.6730769230769231,7.641258983947076e-05
post2017,571,LSTM,True,520,520,0.20259070243452829,0.3425827005463396,0.0008822777708249755,0.016158923947639032,0.8218229308933165,0.6346153846153846,0.00346220489730483
post2017,571,Persistence,True,104,104,0.22867414802551003,0.3783012549899319,0.0010877120342240752,0.018662571129092868,0.7189457069934044,0.0673076923076923,0.0
